date;txVolume(USD);adjustedTxVolume(USD);txCount;marketcap(USD);price(USD);exchangeVolume(USD);realizedCap(USD);generatedCoins;fees;activeAddresses;averageDifficulty;paymentCount;medianTxValue(USD);medianFee;blockSize;blockCount
25/05/2013;8.348.169.469.814.480;3.874.029.442.392.400;51115;1490500385.0;133.1;0.0;5.461.547.653.670.520;4125.0;4.727.625.949;69588;114.507.540.745.649;79735;41.420.505.709;0.0005;24588034;165
26/05/2013;4.669.360.871.400.780;2.315.441.781.338.540;40559;1478601476.25;131.99;0.0;5.473.920.527.756.800;4075.0;31.528.939.700.000.000;69622;121.534.117.097.759;80187;4.976.999.594.010.000;0.0005;21743445;163
27/05/2013;7.842.921.833.128.730;3.821.023.149.600.480;52582;149.616.879.593.803;133.5;0.0;5.488.029.043.725.260;4400.0;48.888.472.130.000.000;73955;121.534.117.097.759;95266;42.085.300.950.000.000;0.0005;26151322;176
28/05/2013;8.159.977.944.203.990;40.270.967.859.169.200;56912;1454822271.75;129.77;0.0;5.502.007.262.696.260;3950.0;5.478.926.938;76189;121.534.117.097.759;86390;64.885;0.0005;26795403;158
29/05/2013;8.645.909.482.848.040;4.564.656.104.202.690;54892;1.446.725.325.487.520;129.0;0.0;5.532.089.853.872.040;4200.0;5.215.347.597;80522;121.534.117.097.759;87952;6.478.998.813;0.0005;26892403;168
30/05/2013;7.572.066.760.380.750;4.599.363.083.662.870;57247;14.837.607.429.910.700;132.25;0.0;5.551.024.992.755.210;4475.0;47.481.250.790.000.000;78185;121.534.117.097.759;91661;66.125;0.0005;27981476;179
31/05/2013;767.697.200.800.796;42.645.720.796.401.800;54171;14.456.254.400.000.000;128.8;0.0;5.573.220.113.658.340;4375.0;4.506.128.758;75446;121.534.117.097.759;82020;64.4;0.0005;25787894;175
01/06/2013;55.949.046.550.946.900;3.356.518.130.615.940;54098;14.465.262.209.999.900;128.82;0.0;5.588.764.492.292.830;5325.0;4.125.064.975;67761;121.534.117.097.759;84064;371.559.120.078;0.0005;26596552;213
02/06/2013;4.887.869.499.276.910;33.928.992.879.645.000;49748;14.525.896.536.920.400;129.3;0.0;5.599.987.902.757.400;4975.0;4.882.755.776;65817;121.534.117.097.759;79510;41.376.534.009.000.000;0.0005;24146934;199
03/06/2013;8.518.805.052.529.040;48.606.728.679.825.900;55661;1.376.855.155.498.280;122.5;0.0;5.613.849.504.044.610;5325.0;5.888.445.252;79845;121.534.117.097.759;86518;49.0;0.0005;26941797;213
04/06/2013;7.060.263.638.563.660;44.160.407.475.644.500;57409;1357691115.0;120.74;0.0;5.629.184.711.860.080;5325.0;5.421.273.887;78619;121.534.117.097.759;86884;616.739.750.964;0.0005;27646031;213
05/06/2013;747.928.546.951.183;4.385.075.768.848.530;56376;13.656.741.252.494.800;121.4;0.0;565.016.428.095.171;4600.0;6.012.802.918;78652;134.667.566.445.894;99133;46.059.654.098;0.0005;27198821;184
06/06/2013;8.425.767.649.974.280;4.412.195.645.940.360;54457;1371850410.0;121.9;0.0;5.684.185.120.659.430;4525.0;4.126.218.009;73256;156.056.326.812.859;79174;45.712.785.246;0.0005;25978546;181
07/06/2013;72.912.474.279.017;537.416.323.781.383;52027;13.393.553.377.834.900;118.97;0.0;568.117.042.942.976;4025.0;39.161.847.030.000.000;73768;156.056.326.812.859;74687;692.524.001.193;0.0005;24931807;161
08/06/2013;3.940.162.075.179.630;2.542.235.594.746.100;48037;1250126400.0;111.0;0.0;5.681.554.471.389.850;4525.0;4.607.546.975;58257;156.056.326.812.859;68060;37.091.143.949.999.900;0.0005;22249101;181
09/06/2013;689.467.234.980.772;4.193.758.109.465.550;44312;1215534593.25;107.89;0.0;5.679.220.304.324.830;3975.0;36.049.306.630.000.000;56600;156.056.326.812.859;64135;383.732.363;0.0005;21313866;159
10/06/2013;4.622.813.199.904.160;3.023.942.114.357.680;44826;1132029108.0;100.44;0.0;5.681.633.506.052.960;4350.0;3.447.766.724;60963;156.056.326.812.859;64163;567.491.644.728;0.0005;20660095;174
11/06/2013;5.816.279.888.778.030;3.336.629.168.582.070;49483;1199122837.5;106.35;0.0;5.697.167.417.205.700;4500.0;4.766.766.862;66609;156.056.326.812.859;74832;55.806.716.893.499.900;0.0005;22175802;180
12/06/2013;5.564.995.261.289.450;3.586.258.824.170.640;45704;12.295.581.505.039.200;109.0;0.0;5.700.592.206.954.170;5075.0;4.254.762.436;63763;156.056.326.812.859;70104;6.485.973.714;0.0005;21573225;203
13/06/2013;6.166.389.077.127.020;40.727.780.528.132.100;43007;1227579580.5;108.78;0.0;5.693.673.367.491.890;4650.0;40.878.791.400.000.000;66341;156.056.326.812.859;65525;7.658.599.878.300.000;0.0005;20109451;186
14/06/2013;710.413.166.642.152;4.891.218.772.726.020;49992;11.735.280.146.369.200;103.95;0.0;5.692.852.015.878.900;4500.0;3.632.062.691;75762;156.056.326.812.859;68605;722.310.493.905;0.0005;23524868;180
15/06/2013;38.610.480.842.016.000;27.952.049.099.949.000;35653;11.293.585.398.539.800;100.0;0.0;5.695.329.652.370.990;4325.0;33.016.269.460.000.000;53810;156.056.326.812.859;48752;62.935.565.000.000.000;0.0005;16715724;173
16/06/2013;4.696.943.400.281.080;250.046.194.688.466;42781;11.275.828.152.507.200;99.8;0.0;5.698.784.091.330.390;4625.0;3.128.648.429;48785;159.487.226.004.681;56425;3.077.096.474;0.0005;19703574;185
17/06/2013;5.455.223.295.963.750;327.630.700.814.526;45798;1129074795.0;99.9;0.0;5.702.036.176.695.870;3625.0;3.685.317.147;56902;193.392.582.723.867;60915;4.990.005;0.0005;20768242;145
18/06/2013;6.100.106.071.705.900;3.535.261.297.244.480;45877;1152600822.5;101.95;0.0;5.709.822.840.800.250;3500.0;3.777.149.405;63562;193.392.582.723.867;58802;55.332.426.599;0.0005;20937269;140
19/06/2013;5.746.117.167.773.470;3.421.207.875.292.660;46895;12.106.230.979.944.500;107.05;0.0;5.715.112.844.542.160;3400.0;37.408.574.200.000.000;69145;193.392.582.723.867;66581;55.193.751.066;0.0005;21803833;136
20/06/2013;733.516.429.538.074;4.039.348.098.752.080;52361;1224610600.0;108.25;0.0;572.088.116.667.186;3850.0;6.989.069.826.000.000;67644;193.392.582.723.867;67561;451.055.980.925;0.0005;24396007;154
21/06/2013;713.254.024.327.981;4.434.789.939.713.920;46859;12.594.717.127.581.700;111.29;0.0;572.389.788.088.604;4200.0;4.299.107.458;69098;193.392.582.723.867;62865;673.744.017.597;0.0005;22202189;168
22/06/2013;43.031.967.286.432.200;25.918.888.771.105.300;44418;12.396.960.380.055.400;109.5;0.0;5.729.600.984.545.980;4400.0;5.558.427.754;58577;193.392.582.723.867;62186;546.405;0.0005;20713044;176
23/06/2013;3.287.233.595.603.150;220.475.356.977.973;38342;1225421805.0;108.2;0.0;5.733.322.012.357.080;4125.0;3.289.707.161;52055;193.392.582.723.867;50790;43.28;0.0005;17629133;165
24/06/2013;6.116.335.447.578.590;36.952.125.124.736.700;44095;12.223.930.780.163.500;107.9;0.0;5.736.582.406.969.600;3750.0;3.919.235.757;64862;193.392.582.723.867;60849;6.544.135.000.000.000;0.0005;20321183;150
25/06/2013;6.905.033.022.976.360;3.542.247.818.020.770;44472;1157006388.0;102.09;0.0;5.740.488.910.643.790;3925.0;3.379.573.922;61381;193.392.582.723.867;57612;6.140.012.039.610.000;0.0005;20099543;157
26/06/2013;59.285.841.512.420.100;3.740.609.267.247.850;45453;1171509041.5;103.33;0.0;574.648.322.430.462;4350.0;4.029.547.374;64996;193.392.582.723.867;65292;54.070.373.604.800.000;0.0005;21013597;174
27/06/2013;5.306.433.415.827.230;33.078.578.160.603.000;45961;11.795.019.163.249.200;104.0;0.0;5.748.299.749.851.900;4175.0;30.744.771.840.000.000;61024;193.392.582.723.867;62098;52.0;0.0005;21289071;167
28/06/2013;62.406.994.120.951.900;4.033.543.143.204.300;49383;11.543.297.398.328.500;101.74;0.0;5.737.267.596.544.110;4225.0;4.809.132.266;68612;193.392.582.723.867;66323;533.974.769.674;0.0005;22885217;169
29/06/2013;4.519.439.645.459.540;2.577.851.805.799.160;36376;10.744.528.085.255.200;94.66;0.0;5.743.401.256.849.450;4225.0;2.438.738.042;60980;201.778.442.472.586;65384;60.440.817.984.599.900;0.0005;17879316;169
30/06/2013;3.584.929.967.567.860;2.494.475.901.226.960;30800;10.786.770.338.991.800;95.0;0.0;5.746.864.169.613.820;3825.0;290.968.413;50485;21.335.329.113.983;45616;49.741.525;0.0005;14178762;153
01/07/2013;7.924.107.496.134.970;44.221.059.722.070.400;38971;11.075.112.664.731.400;97.51;0.0;5.743.074.232.740.250;3925.0;2.412.834.059;68676;21.335.329.113.983;54583;9.563.654.037;0.0005;17799423;157
02/07/2013;60.751.399.963.938.800;3.590.695.956.663.980;39497;100.044.868.717.852;88.05;0.0;5.752.853.413.873.520;3825.0;3.558.288.433;64157;21.335.329.113.983;53620;698.209.864.875;0.0005;17957681;153
03/07/2013;7.037.770.882.989.650;4.341.510.424.639.430;35347;10.275.180.405.830.000;90.4;0.0;5.730.726.601.827.000;4600.0;28.174.881.680.000.000;66024;21.335.329.113.983;51346;9.878.912.000.000.000;0.0005;15837711;184
04/07/2013;64.725.699.135.643.000;339.460.724.022.816;35127;8.969.719.615.548.240;78.89;0.0;572.498.275.917.236;4125.0;2.333.133.526;60868;21.335.329.113.983;48839;721.857.439.863;0.0005;16056907;165
05/07/2013;7.443.115.656.949.490;4.420.309.956.888.930;36851;9.099.095.456.409.460;79.99;0.0;5.674.775.857.275.800;4650.0;3.246.852.246;60509;21.335.329.113.983;51698;65.064.849.877;0.0005;16794997;186
06/07/2013;456.767.635.053.683;29.790.492.566.927.400;33185;7.794.863.531.801.360;68.5;0.0;5.639.885.986.833.520;4675.0;2.981.300.277;56535;213.353.291.139.831;45497;39.045;0.0005;15773436;187
07/07/2013;4.267.731.484.086.460;22.093.243.656.674.400;30170;7.826.942.034.100.050;68.75;0.0;5.644.400.148.331.610;4650.0;1.842.094.257;48847;21.335.329.113.983;46682;3.958.240.825;0.0005;14163674;186
08/07/2013;613.308.615.301.152;32.721.114.451.982.100;39437;8.712.301.674.072.130;76.5;0.0;564.804.307.416.866;4800.0;3.280.380.724;63045;213.353.291.139.831;53389;59.938.094.250.000.000;0.0005;18153122;192
09/07/2013;835.803.664.796.013;3.977.985.253.675.540;40647;8.659.796.651.975.480;76.0;0.0;5.646.008.105.757.760;4625.0;3.475.026.174;67986;21.335.329.113.983;56450;7.686.822.400.000.000;0.0005;19119632;185
10/07/2013;787.926.417.454.879;40.569.346.486.271.300;39043;874514018.0;76.72;0.0;5.682.208.988.598.900;4875.0;2.639.959.721;64858;213.353.291.139.831;66524;77.488.857.152;0.0005;18142081;195
11/07/2013;8.850.195.532.268.720;49.445.096.188.736.100;43260;1.003.475.000.494.490;88.0;0.0;5.691.766.593.066.830;4350.0;3.532.010.629;73357;261.073.866.415.517;68331;1.132.756.636;0.0005;20058324;174
12/07/2013;8.734.705.141.919.650;5.480.041.636.185.750;48106;10.150.457.760.692.300;88.98;0.0;5.714.264.744.848.770;3850.0;30.779.095.480.000.000;78450;2.616.287.568.257;79250;88.98;0.0005;23412083;154
13/07/2013;784.932.360.962.277;45.992.546.860.139.600;37813;10.725.531.164.659.100;93.99;0.0;5.740.254.466.379.170;3925.0;3.360.786.141;63116;2.616.287.568.257;56172;6.569.901;0.0005;18142158;157
